2019-05-21 12:11:25 DEBUG PropertyBinder:175 - MetadataSourceProcessor property firstName with lazy=false
2019-05-21 12:11:25 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.shop.model.User:firstName]
2019-05-21 12:11:25 DEBUG SimpleValueBinder:411 - building SimpleValue for firstName
2019-05-21 12:11:25 DEBUG PropertyBinder:266 - Building property firstName
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=last_name, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG PropertyBinder:175 - MetadataSourceProcessor property lastName with lazy=false
2019-05-21 12:11:25 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.shop.model.User:lastName]
2019-05-21 12:11:25 DEBUG SimpleValueBinder:411 - building SimpleValue for lastName
2019-05-21 12:11:25 DEBUG PropertyBinder:266 - Building property lastName
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=orders, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=null, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=element, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=orders_KEY, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='orders_KEY', referencedColumn='null', mappedBy='null'}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='null', referencedColumn='null', mappedBy='user'}
2019-05-21 12:11:25 DEBUG CollectionBinder:449 - Collection role: com.shop.model.User.orders
2019-05-21 12:11:25 DEBUG PropertyBinder:266 - Building property orders
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=password, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG PropertyBinder:175 - MetadataSourceProcessor property password with lazy=false
2019-05-21 12:11:25 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.shop.model.User:password]
2019-05-21 12:11:25 DEBUG SimpleValueBinder:411 - building SimpleValue for password
2019-05-21 12:11:25 DEBUG PropertyBinder:266 - Building property password
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=null, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=element, insertable=true, updatable=true, unique=false}
